date,quiniela,period,position,result
2014-11-01,buenos-aires,matutina, 1,5851
2014-11-01,buenos-aires,matutina,2,3753
2014-11-01,buenos-aires,matutina,3,3929
2014-11-01,buenos-aires,matutina,4,9653
2014-11-01,buenos-aires,matutina,5,8944
2014-11-01,buenos-aires,matutina,6,8629
2014-11-01,buenos-aires,matutina,7,5902
2014-11-01,buenos-aires,matutina,8,5965
2014-11-01,buenos-aires,matutina,9,6809
2014-11-01,buenos-aires,matutina,10,7132
2014-11-01,buenos-aires,matutina,11,9039
2014-11-01,buenos-aires,matutina,12,0468
2014-11-01,buenos-aires,matutina,13,3792
2014-11-01,buenos-aires,matutina,14,6299
2014-11-01,buenos-aires,matutina,15,4114
2014-11-01,buenos-aires,matutina,16,7370
2014-11-01,buenos-aires,matutina,17,4890
2014-11-01,buenos-aires,matutina,18,5114
2014-11-01,buenos-aires,matutina,19,9200
2014-11-01,buenos-aires,matutina,20,7927
2014-11-01,buenos-aires,matutina,Letras,- - - 
2014-11-03,buenos-aires,matutina, 1,4253
2014-11-03,buenos-aires,matutina,2,0224
2014-11-03,buenos-aires,matutina,3,5542
2014-11-03,buenos-aires,matutina,4,1810
2014-11-03,buenos-aires,matutina,5,0297
2014-11-03,buenos-aires,matutina,6,7061
2014-11-03,buenos-aires,matutina,7,5927
2014-11-03,buenos-aires,matutina,8,5466
2014-11-03,buenos-aires,matutina,9,8202
2014-11-03,buenos-aires,matutina,10,5605
2014-11-03,buenos-aires,matutina,11,5225
2014-11-03,buenos-aires,matutina,12,1603
2014-11-03,buenos-aires,matutina,13,1554
2014-11-03,buenos-aires,matutina,14,7536
2014-11-03,buenos-aires,matutina,15,8635
2014-11-03,buenos-aires,matutina,16,6590
2014-11-03,buenos-aires,matutina,17,1710
2014-11-03,buenos-aires,matutina,18,1179
2014-11-03,buenos-aires,matutina,19,7058
2014-11-03,buenos-aires,matutina,20,7076
2014-11-03,buenos-aires,matutina,Letras,- - - 
2014-11-04,buenos-aires,matutina, 1,4028
2014-11-04,buenos-aires,matutina,2,3513
2014-11-04,buenos-aires,matutina,3,6306
2014-11-04,buenos-aires,matutina,4,1816
2014-11-04,buenos-aires,matutina,5,5947
2014-11-04,buenos-aires,matutina,6,8881
2014-11-04,buenos-aires,matutina,7,3956
2014-11-04,buenos-aires,matutina,8,6427
2014-11-04,buenos-aires,matutina,9,5014
2014-11-04,buenos-aires,matutina,10,8316
2014-11-04,buenos-aires,matutina,11,9505
2014-11-04,buenos-aires,matutina,12,4712
2014-11-04,buenos-aires,matutina,13,9253
2014-11-04,buenos-aires,matutina,14,2590
2014-11-04,buenos-aires,matutina,15,4768
2014-11-04,buenos-aires,matutina,16,5956
2014-11-04,buenos-aires,matutina,17,1265
2014-11-04,buenos-aires,matutina,18,3032
2014-11-04,buenos-aires,matutina,19,7334
2014-11-04,buenos-aires,matutina,20,7581
2014-11-04,buenos-aires,matutina,Letras,- - - 
2014-11-05,buenos-aires,matutina, 1,1737
2014-11-05,buenos-aires,matutina,2,2577
2014-11-05,buenos-aires,matutina,3,9623
2014-11-05,buenos-aires,matutina,4,8467
2014-11-05,buenos-aires,matutina,5,7384
2014-11-05,buenos-aires,matutina,6,7027
2014-11-05,buenos-aires,matutina,7,2828
2014-11-05,buenos-aires,matutina,8,7134
2014-11-05,buenos-aires,matutina,9,0088
2014-11-05,buenos-aires,matutina,10,2185
2014-11-05,buenos-aires,matutina,11,4881
2014-11-05,buenos-aires,matutina,12,2561
2014-11-05,buenos-aires,matutina,13,2222
2014-11-05,buenos-aires,matutina,14,0948
2014-11-05,buenos-aires,matutina,15,2880
2014-11-05,buenos-aires,matutina,16,2694
2014-11-05,buenos-aires,matutina,17,4522
2014-11-05,buenos-aires,matutina,18,5760
2014-11-05,buenos-aires,matutina,19,7486
2014-11-05,buenos-aires,matutina,20,3019
2014-11-05,buenos-aires,matutina,Letras,- - - 
2014-11-06,buenos-aires,matutina, 1,1685
2014-11-06,buenos-aires,matutina,2,8180
2014-11-06,buenos-aires,matutina,3,0229
2014-11-06,buenos-aires,matutina,4,1773
2014-11-06,buenos-aires,matutina,5,2897
2014-11-06,buenos-aires,matutina,6,6493
2014-11-06,buenos-aires,matutina,7,2682
2014-11-06,buenos-aires,matutina,8,0346
2014-11-06,buenos-aires,matutina,9,8787
2014-11-06,buenos-aires,matutina,10,0104
2014-11-06,buenos-aires,matutina,11,2891
2014-11-06,buenos-aires,matutina,12,8807
2014-11-06,buenos-aires,matutina,13,2854
2014-11-06,buenos-aires,matutina,14,3789
2014-11-06,buenos-aires,matutina,15,1015
2014-11-06,buenos-aires,matutina,16,7288
2014-11-06,buenos-aires,matutina,17,0463
2014-11-06,buenos-aires,matutina,18,5935
2014-11-06,buenos-aires,matutina,19,5010
2014-11-06,buenos-aires,matutina,20,4543
2014-11-06,buenos-aires,matutina,Letras,- - - 
2014-11-07,buenos-aires,matutina, 1,0580
2014-11-07,buenos-aires,matutina,2,6988
2014-11-07,buenos-aires,matutina,3,3072
2014-11-07,buenos-aires,matutina,4,2985
2014-11-07,buenos-aires,matutina,5,7132
2014-11-07,buenos-aires,matutina,6,0589
2014-11-07,buenos-aires,matutina,7,5405
2014-11-07,buenos-aires,matutina,8,3565
2014-11-07,buenos-aires,matutina,9,8319
2014-11-07,buenos-aires,matutina,10,3829
2014-11-07,buenos-aires,matutina,11,5714
2014-11-07,buenos-aires,matutina,12,8421
2014-11-07,buenos-aires,matutina,13,4190
2014-11-07,buenos-aires,matutina,14,0484
2014-11-07,buenos-aires,matutina,15,6730
2014-11-07,buenos-aires,matutina,16,8728
