date,quiniela,period,position,result
2014-11-01,buenos-aires,nocturna, 1,9181
2014-11-01,buenos-aires,nocturna,2,5882
2014-11-01,buenos-aires,nocturna,3,4903
2014-11-01,buenos-aires,nocturna,4,1590
2014-11-01,buenos-aires,nocturna,5,7600
2014-11-01,buenos-aires,nocturna,6,8753
2014-11-01,buenos-aires,nocturna,7,5509
2014-11-01,buenos-aires,nocturna,8,3700
2014-11-01,buenos-aires,nocturna,9,6640
2014-11-01,buenos-aires,nocturna,10,0811
2014-11-01,buenos-aires,nocturna,11,9824
2014-11-01,buenos-aires,nocturna,12,3894
2014-11-01,buenos-aires,nocturna,13,6785
2014-11-01,buenos-aires,nocturna,14,3291
2014-11-01,buenos-aires,nocturna,15,9586
2014-11-01,buenos-aires,nocturna,16,8884
2014-11-01,buenos-aires,nocturna,17,2826
2014-11-01,buenos-aires,nocturna,18,0140
2014-11-01,buenos-aires,nocturna,19,5190
2014-11-01,buenos-aires,nocturna,20,8874
2014-11-01,buenos-aires,nocturna,Letras,- - -
2014-11-03,buenos-aires,nocturna, 1,2498
2014-11-03,buenos-aires,nocturna,2,7137
2014-11-03,buenos-aires,nocturna,3,3570
2014-11-03,buenos-aires,nocturna,4,1157
2014-11-03,buenos-aires,nocturna,5,8679
2014-11-03,buenos-aires,nocturna,6,3629
2014-11-03,buenos-aires,nocturna,7,4753
2014-11-03,buenos-aires,nocturna,8,1448
2014-11-03,buenos-aires,nocturna,9,5155
2014-11-03,buenos-aires,nocturna,10,2123
2014-11-03,buenos-aires,nocturna,11,6545
2014-11-03,buenos-aires,nocturna,12,8135
2014-11-03,buenos-aires,nocturna,13,7205
2014-11-03,buenos-aires,nocturna,14,3041
2014-11-03,buenos-aires,nocturna,15,7489
2014-11-03,buenos-aires,nocturna,16,6026
2014-11-03,buenos-aires,nocturna,17,8223
2014-11-03,buenos-aires,nocturna,18,3681
2014-11-03,buenos-aires,nocturna,19,1568
2014-11-03,buenos-aires,nocturna,20,7155
2014-11-03,buenos-aires,nocturna,Letras,- - -
2014-11-04,buenos-aires,nocturna, 1,2435
2014-11-04,buenos-aires,nocturna,2,8190
2014-11-04,buenos-aires,nocturna,3,9992
2014-11-04,buenos-aires,nocturna,4,7837
2014-11-04,buenos-aires,nocturna,5,4539
2014-11-04,buenos-aires,nocturna,6,1953
2014-11-04,buenos-aires,nocturna,7,8601
2014-11-04,buenos-aires,nocturna,8,6460
