date,quiniela,period,position,result
2014-11-01,buenos-aires,primera,1,2809
2014-11-01,buenos-aires,primera,2,2190
2014-11-01,buenos-aires,primera,3,3855
2014-11-01,buenos-aires,primera,4,6140
2014-11-01,buenos-aires,primera,5,1287
2014-11-01,buenos-aires,primera,6,7542
2014-11-01,buenos-aires,primera,7,8917
2014-11-01,buenos-aires,primera,8,8841
2014-11-01,buenos-aires,primera,9,3207
2014-11-01,buenos-aires,primera,10,9502
2014-11-01,buenos-aires,primera,11,0588
2014-11-01,buenos-aires,primera,12,7953
2014-11-01,buenos-aires,primera,13,8255
2014-11-01,buenos-aires,primera,14,1871
2014-11-01,buenos-aires,primera,15,5044
2014-11-01,buenos-aires,primera,16,8869
2014-11-01,buenos-aires,primera,17,6097
2014-11-01,buenos-aires,primera,18,9990
2014-11-01,buenos-aires,primera,19,6581
2014-11-01,buenos-aires,primera,20,4422
2014-11-01,buenos-aires,primera,Letras,- - - 
2014-11-03,buenos-aires,primera,1,0257
2014-11-03,buenos-aires,primera,2,1789
2014-11-03,buenos-aires,primera,3,2065
2014-11-03,buenos-aires,primera,4,0075
2014-11-03,buenos-aires,primera,5,7250
2014-11-03,buenos-aires,primera,6,6320
2014-11-03,buenos-aires,primera,7,7890
2014-11-03,buenos-aires,primera,8,2034
2014-11-03,buenos-aires,primera,9,6582
2014-11-03,buenos-aires,primera,10,7640
2014-11-03,buenos-aires,primera,11,0815
2014-11-03,buenos-aires,primera,12,3696
2014-11-03,buenos-aires,primera,13,0243
2014-11-03,buenos-aires,primera,14,2720
2014-11-03,buenos-aires,primera,15,9767
2014-11-03,buenos-aires,primera,16,0008
2014-11-03,buenos-aires,primera,17,6380
2014-11-03,buenos-aires,primera,18,4758
2014-11-03,buenos-aires,primera,19,1432
2014-11-03,buenos-aires,primera,20,6708
2014-11-03,buenos-aires,primera,Letras,- - - 
2014-11-04,buenos-aires,primera,1,2049
2014-11-04,buenos-aires,primera,2,7299
2014-11-04,buenos-aires,primera,3,6002
2014-11-04,buenos-aires,primera,4,6618
2014-11-04,buenos-aires,primera,5,2355
2014-11-04,buenos-aires,primera,6,6203
2014-11-04,buenos-aires,primera,7,5251
2014-11-04,buenos-aires,primera,8,0564
2014-11-04,buenos-aires,primera,9,4430
2014-11-04,buenos-aires,primera,10,5551
2014-11-04,buenos-aires,primera,11,6215
2014-11-04,buenos-aires,primera,12,8498
2014-11-04,buenos-aires,primera,13,0493
2014-11-04,buenos-aires,primera,14,5828
2014-11-04,buenos-aires,primera,15,7108
2014-11-04,buenos-aires,primera,16,9256
2014-11-04,buenos-aires,primera,17,0330
2014-11-04,buenos-aires,primera,18,1905
2014-11-04,buenos-aires,primera,19,8331
2014-11-04,buenos-aires,primera,20,9010
2014-11-04,buenos-aires,primera,Letras,- - - 
2014-11-05,buenos-aires,primera,1,9761
2014-11-05,buenos-aires,primera,2,8266
2014-11-05,buenos-aires,primera,3,4500
2014-11-05,buenos-aires,primera,4,9423
2014-11-05,buenos-aires,primera,5,4235
2014-11-05,buenos-aires,primera,6,2094
2014-11-05,buenos-aires,primera,7,4806
2014-11-05,buenos-aires,primera,8,2441
2014-11-05,buenos-aires,primera,9,4950
2014-11-05,buenos-aires,primera,10,8489
2014-11-05,buenos-aires,primera,11,5125
2014-11-05,buenos-aires,primera,12,3641
2014-11-05,buenos-aires,primera,13,6169
2014-11-05,buenos-aires,primera,14,1858
2014-11-05,buenos-aires,primera,15,2122
2014-11-05,buenos-aires,primera,16,3190
2014-11-05,buenos-aires,primera,17,6349
2014-11-05,buenos-aires,primera,18,3987
2014-11-05,buenos-aires,primera,19,0464
2014-11-05,buenos-aires,primera,20,6863
2014-11-05,buenos-aires,primera,Letras,- - - 
2014-11-06,buenos-aires,primera,1,4569
2014-11-06,buenos-aires,primera,2,6114
2014-11-06,buenos-aires,primera,3,2649
2014-11-06,buenos-aires,primera,4,9083
2014-11-06,buenos-aires,primera,5,1010
2014-11-06,buenos-aires,primera,6,6744
2014-11-06,buenos-aires,primera,7,3951
2014-11-06,buenos-aires,primera,8,8965
2014-11-06,buenos-aires,primera,9,4015
2014-11-06,buenos-aires,primera,10,9739
2014-11-06,buenos-aires,primera,11,0307
2014-11-06,buenos-aires,primera,12,4718
2014-11-06,buenos-aires,primera,13,7490
2014-11-06,buenos-aires,primera,14,3206
2014-11-06,buenos-aires,primera,15,5511
2014-11-06,buenos-aires,primera,16,9489
2014-11-06,buenos-aires,primera,17,1494
2014-11-06,buenos-aires,primera,18,4357
2014-11-06,buenos-aires,primera,19,6478
2014-11-06,buenos-aires,primera,20,2464
2014-11-06,buenos-aires,primera,Letras,- - - 
2014-11-07,buenos-aires,primera,1,5287
2014-11-07,buenos-aires,primera,2,0224
2014-11-07,buenos-aires,primera,3,6419
2014-11-07,buenos-aires,primera,4,2362
2014-11-07,buenos-aires,primera,5,7456
2014-11-07,buenos-aires,primera,6,4372
2014-11-07,buenos-aires,primera,7,5788
2014-11-07,buenos-aires,primera,8,5692
2014-11-07,buenos-aires,primera,9,9545
2014-11-07,buenos-aires,primera,10,1164
2014-11-07,buenos-aires,primera,11,5921
2014-11-07,buenos-aires,primera,12,9191
2014-11-07,buenos-aires,primera,13,2782
2014-11-07,buenos-aires,primera,14,4461
2014-11-07,buenos-aires,primera,15,4069
2014-11-07,buenos-aires,primera,16,6122
2014-11-07,buenos-aires,primera,17,9310
2014-11-07,buenos-aires,primera,18,0093
2014-11-07,buenos-aires,primera,19,0081
2014-11-07,buenos-aires,primera,20,7379
2014-11-07,buenos-aires,primera,Letras,- - - 
2014-11-08,buenos-aires,primera,1,6131
2014-11-08,buenos-aires,primera,2,6290
2014-11-08,buenos-aires,primera,3,4583
2014-11-08,buenos-aires,primera,4,2334
2014-11-08,buenos-aires,primera,5,2858
2014-11-08,buenos-aires,primera,6,0414
2014-11-08,buenos-aires,primera,7,2207
2014-11-08,buenos-aires,primera,8,4845
2014-11-08,buenos-aires,primera,9,7315
2014-11-08,buenos-aires,primera,10,2212
2014-11-08,buenos-aires,primera,11,6123
2014-11-08,buenos-aires,primera,12,7770
2014-11-08,buenos-aires,primera,13,3359
2014-11-08,buenos-aires,primera,14,1358
2014-11-08,buenos-aires,primera,15,5594
2014-11-08,buenos-aires,primera,16,2746
2014-11-08,buenos-aires,primera,17,0134
2014-11-08,buenos-aires,primera,18,3423
2014-11-08,buenos-aires,primera,19,1082
2014-11-08,buenos-aires,primera,20,4242
2014-11-08,buenos-aires,primera,Letras,- - - 
2014-11-10,buenos-aires,primera,1,7595
2014-11-10,buenos-aires,primera,2,2756
2014-11-10,buenos-aires,primera,3,3825
2014-11-10,buenos-aires,primera,4,5430
2014-11-10,buenos-aires,primera,5,2798
2014-11-10,buenos-aires,primera,6,8528
2014-11-10,buenos-aires,primera,7,0373
2014-11-10,buenos-aires,primera,8,1029
2014-11-10,buenos-aires,primera,9,9615
2014-11-10,buenos-aires,primera,10,0537
2014-11-10,buenos-aires,primera,11,6993
2014-11-10,buenos-aires,primera,12,8291
2014-11-10,buenos-aires,primera,13,6813
2014-11-10,buenos-aires,primera,14,3031
2014-11-10,buenos-aires,primera,15,6135
2014-11-10,buenos-aires,primera,16,2224
2014-11-10,buenos-aires,primera,17,3287
2014-11-10,buenos-aires,primera,18,7132
2014-11-10,buenos-aires,primera,19,4847
2014-11-10,buenos-aires,primera,20,6242
2014-11-10,buenos-aires,primera,Letras,- - - 
2014-11-11,buenos-aires,primera,1,5439
2014-11-11,buenos-aires,primera,2,1563
2014-11-11,buenos-aires,primera,3,0460
2014-11-11,buenos-aires,primera,4,0850
2014-11-11,buenos-aires,primera,5,5544
2014-11-11,buenos-aires,primera,6,7214
2014-11-11,buenos-aires,primera,7,6984
2014-11-11,buenos-aires,primera,8,7259
2014-11-11,buenos-aires,primera,9,2120
2014-11-11,buenos-aires,primera,10,7654
2014-11-11,buenos-aires,primera,11,7445
2014-11-11,buenos-aires,primera,12,0991
2014-11-11,buenos-aires,primera,13,8848
2014-11-11,buenos-aires,primera,14,4999
2014-11-11,buenos-aires,primera,15,1520
2014-11-11,buenos-aires,primera,16,1897
2014-11-11,buenos-aires,primera,17,2491
2014-11-11,buenos-aires,primera,18,2946
2014-11-11,buenos-aires,primera,19,4443
2014-11-11,buenos-aires,primera,20,8515
2014-11-11,buenos-aires,primera,Letras,- - - 
2014-11-12,buenos-aires,primera,1,5231
2014-11-12,buenos-aires,primera,2,0075
