date,quiniela,period,position,result
2014-11-01,buenos-aires,vespertina, 1,9559
2014-11-01,buenos-aires,vespertina,2,8020
2014-11-01,buenos-aires,vespertina,3,5903
2014-11-01,buenos-aires,vespertina,4,6553
2014-11-01,buenos-aires,vespertina,5,6830
2014-11-01,buenos-aires,vespertina,6,8535
2014-11-01,buenos-aires,vespertina,7,1571
2014-11-01,buenos-aires,vespertina,8,0759
2014-11-01,buenos-aires,vespertina,9,8579
2014-11-01,buenos-aires,vespertina,10,3820
2014-11-01,buenos-aires,vespertina,11,2296
2014-11-01,buenos-aires,vespertina,12,8726
2014-11-01,buenos-aires,vespertina,13,9191
2014-11-01,buenos-aires,vespertina,14,3140
2014-11-01,buenos-aires,vespertina,15,9391
2014-11-01,buenos-aires,vespertina,16,2225
2014-11-01,buenos-aires,vespertina,17,4570
2014-11-01,buenos-aires,vespertina,18,0294
2014-11-01,buenos-aires,vespertina,19,2129
2014-11-01,buenos-aires,vespertina,20,3522
2014-11-01,buenos-aires,vespertina,Letras,- - - 
2014-11-03,buenos-aires,vespertina, 1,8343
2014-11-03,buenos-aires,vespertina,2,1599
2014-11-03,buenos-aires,vespertina,3,2058
2014-11-03,buenos-aires,vespertina,4,1332
2014-11-03,buenos-aires,vespertina,5,8398
2014-11-03,buenos-aires,vespertina,6,6216
2014-11-03,buenos-aires,vespertina,7,5907
2014-11-03,buenos-aires,vespertina,8,3010
2014-11-03,buenos-aires,vespertina,9,3783
2014-11-03,buenos-aires,vespertina,10,8252
2014-11-03,buenos-aires,vespertina,11,5421
2014-11-03,buenos-aires,vespertina,12,6463
2014-11-03,buenos-aires,vespertina,13,5961
2014-11-03,buenos-aires,vespertina,14,9075
2014-11-03,buenos-aires,vespertina,15,3858
2014-11-03,buenos-aires,vespertina,16,1425
2014-11-03,buenos-aires,vespertina,17,0831
2014-11-03,buenos-aires,vespertina,18,3881
2014-11-03,buenos-aires,vespertina,19,0062
2014-11-03,buenos-aires,vespertina,20,4839
2014-11-03,buenos-aires,vespertina,Letras,- - - 
2014-11-04,buenos-aires,vespertina, 1,0019
2014-11-04,buenos-aires,vespertina,2,7918
2014-11-04,buenos-aires,vespertina,3,1712
2014-11-04,buenos-aires,vespertina,4,2506
2014-11-04,buenos-aires,vespertina,5,5254
2014-11-04,buenos-aires,vespertina,6,2109
2014-11-04,buenos-aires,vespertina,7,0971
2014-11-04,buenos-aires,vespertina,8,9507
2014-11-04,buenos-aires,vespertina,9,0780
2014-11-04,buenos-aires,vespertina,10,9380
2014-11-04,buenos-aires,vespertina,11,3295
