date,quiniela,period,position,result
2014-11-01,nacional,matutina, 1,1551
2014-11-01,nacional,matutina,2,2596
2014-11-01,nacional,matutina,3,3488
2014-11-01,nacional,matutina,4,8822
2014-11-01,nacional,matutina,5,5762
2014-11-01,nacional,matutina,6,2680
2014-11-01,nacional,matutina,7,6759
2014-11-01,nacional,matutina,8,1227
2014-11-01,nacional,matutina,9,4903
2014-11-01,nacional,matutina,10,5419
2014-11-01,nacional,matutina,11,4372
2014-11-01,nacional,matutina,12,3110
2014-11-01,nacional,matutina,13,4364
2014-11-01,nacional,matutina,14,5184
2014-11-01,nacional,matutina,15,1378
2014-11-01,nacional,matutina,16,5630
2014-11-01,nacional,matutina,17,2899
2014-11-01,nacional,matutina,18,9643
2014-11-01,nacional,matutina,19,7987
2014-11-01,nacional,matutina,20,4538
2014-11-01,nacional,matutina,Letras,DHLV 
2014-11-03,nacional,matutina, 1,3307
2014-11-03,nacional,matutina,2,4374
2014-11-03,nacional,matutina,3,7540
2014-11-03,nacional,matutina,4,1841
2014-11-03,nacional,matutina,5,8131
2014-11-03,nacional,matutina,6,9884
2014-11-03,nacional,matutina,7,3226
2014-11-03,nacional,matutina,8,0203
2014-11-03,nacional,matutina,9,6679
2014-11-03,nacional,matutina,10,0397
2014-11-03,nacional,matutina,11,9077
2014-11-03,nacional,matutina,12,7910
2014-11-03,nacional,matutina,13,6446
2014-11-03,nacional,matutina,14,4907
2014-11-03,nacional,matutina,15,9094
2014-11-03,nacional,matutina,16,3597
2014-11-03,nacional,matutina,17,8793
2014-11-03,nacional,matutina,18,3129
2014-11-03,nacional,matutina,19,0065
2014-11-03,nacional,matutina,20,0532
2014-11-03,nacional,matutina,Letras,IFGJ 
2014-11-04,nacional,matutina, 1,3844
2014-11-04,nacional,matutina,2,1241
2014-11-04,nacional,matutina,3,7407
2014-11-04,nacional,matutina,4,0836
2014-11-04,nacional,matutina,5,8370
2014-11-04,nacional,matutina,6,5802
2014-11-04,nacional,matutina,7,5575
2014-11-04,nacional,matutina,8,8909
2014-11-04,nacional,matutina,9,2426
2014-11-04,nacional,matutina,10,9365
2014-11-04,nacional,matutina,11,5019
2014-11-04,nacional,matutina,12,1654
2014-11-04,nacional,matutina,13,5519
2014-11-04,nacional,matutina,14,8023
2014-11-04,nacional,matutina,15,7936
2014-11-04,nacional,matutina,16,9702
2014-11-04,nacional,matutina,17,0043
2014-11-04,nacional,matutina,18,8148
2014-11-04,nacional,matutina,19,5790
2014-11-04,nacional,matutina,20,1992
2014-11-04,nacional,matutina,Letras,CRRW 
2014-11-05,nacional,matutina, 1,9280
2014-11-05,nacional,matutina,2,7734
2014-11-05,nacional,matutina,3,8494
2014-11-05,nacional,matutina,4,7179
2014-11-05,nacional,matutina,5,3127
2014-11-05,nacional,matutina,6,5140
2014-11-05,nacional,matutina,7,5493
2014-11-05,nacional,matutina,8,8234
2014-11-05,nacional,matutina,9,7068
2014-11-05,nacional,matutina,10,1636
2014-11-05,nacional,matutina,11,0975
2014-11-05,nacional,matutina,12,4255
2014-11-05,nacional,matutina,13,7927
2014-11-05,nacional,matutina,14,6325
2014-11-05,nacional,matutina,15,9220
2014-11-05,nacional,matutina,16,2510
2014-11-05,nacional,matutina,17,6159
2014-11-05,nacional,matutina,18,2110
2014-11-05,nacional,matutina,19,6572
2014-11-05,nacional,matutina,20,7948
2014-11-05,nacional,matutina,Letras,BCSY 
2014-11-06,nacional,matutina, 1,1751
2014-11-06,nacional,matutina,2,7447
2014-11-06,nacional,matutina,3,2706
2014-11-06,nacional,matutina,4,4369
2014-11-06,nacional,matutina,5,2473
2014-11-06,nacional,matutina,6,2353
2014-11-06,nacional,matutina,7,0028
2014-11-06,nacional,matutina,8,7963
2014-11-06,nacional,matutina,9,0806
