date,quiniela,period,position,result
2014-11-01,nacional,nocturna, 1,3038
2014-11-01,nacional,nocturna,2,1663
2014-11-01,nacional,nocturna,3,4585
2014-11-01,nacional,nocturna,4,7423
2014-11-01,nacional,nocturna,5,4210
2014-11-01,nacional,nocturna,6,8363
2014-11-01,nacional,nocturna,7,1866
2014-11-01,nacional,nocturna,8,1793
2014-11-01,nacional,nocturna,9,6844
2014-11-01,nacional,nocturna,10,3285
2014-11-01,nacional,nocturna,11,5997
2014-11-01,nacional,nocturna,12,4248
2014-11-01,nacional,nocturna,13,0814
2014-11-01,nacional,nocturna,14,1103
2014-11-01,nacional,nocturna,15,4686
2014-11-01,nacional,nocturna,16,6162
2014-11-01,nacional,nocturna,17,4412
2014-11-01,nacional,nocturna,18,1702
2014-11-01,nacional,nocturna,19,4382
2014-11-01,nacional,nocturna,20,0462
2014-11-01,nacional,nocturna,Letras,HJPQ
2014-11-03,nacional,nocturna, 1,4487
2014-11-03,nacional,nocturna,2,8691
2014-11-03,nacional,nocturna,3,4527
2014-11-03,nacional,nocturna,4,4590
2014-11-03,nacional,nocturna,5,6416
2014-11-03,nacional,nocturna,6,3282
2014-11-03,nacional,nocturna,7,3491
2014-11-03,nacional,nocturna,8,1767
2014-11-03,nacional,nocturna,9,9585
2014-11-03,nacional,nocturna,10,5465
2014-11-03,nacional,nocturna,11,9474
2014-11-03,nacional,nocturna,12,8574
2014-11-03,nacional,nocturna,13,4287
2014-11-03,nacional,nocturna,14,6361
2014-11-03,nacional,nocturna,15,0410
2014-11-03,nacional,nocturna,16,2566
2014-11-03,nacional,nocturna,17,1525
2014-11-03,nacional,nocturna,18,8105
2014-11-03,nacional,nocturna,19,3479
2014-11-03,nacional,nocturna,20,2387
2014-11-03,nacional,nocturna,Letras,UGHW
2014-11-04,nacional,nocturna, 1,2096
2014-11-04,nacional,nocturna,2,3799
2014-11-04,nacional,nocturna,3,0864
2014-11-04,nacional,nocturna,4,1567
2014-11-04,nacional,nocturna,5,5222
2014-11-04,nacional,nocturna,6,4128
2014-11-04,nacional,nocturna,7,2816
2014-11-04,nacional,nocturna,8,5463
2014-11-04,nacional,nocturna,9,5406
2014-11-04,nacional,nocturna,10,8519
2014-11-04,nacional,nocturna,11,1734
2014-11-04,nacional,nocturna,12,0106
2014-11-04,nacional,nocturna,13,0360
2014-11-04,nacional,nocturna,14,4594
2014-11-04,nacional,nocturna,15,5174
2014-11-04,nacional,nocturna,16,4385
2014-11-04,nacional,nocturna,17,0509
2014-11-04,nacional,nocturna,18,2994
2014-11-04,nacional,nocturna,19,6601
2014-11-04,nacional,nocturna,20,6060
2014-11-04,nacional,nocturna,Letras,RVWZ
2014-11-05,nacional,nocturna, 1,0263
2014-11-05,nacional,nocturna,2,7144
2014-11-05,nacional,nocturna,3,8554
2014-11-05,nacional,nocturna,4,0145
2014-11-05,nacional,nocturna,5,3408
2014-11-05,nacional,nocturna,6,7451
2014-11-05,nacional,nocturna,7,2464
2014-11-05,nacional,nocturna,8,2416
2014-11-05,nacional,nocturna,9,4664
2014-11-05,nacional,nocturna,10,8016
2014-11-05,nacional,nocturna,11,3673
2014-11-05,nacional,nocturna,12,1001
2014-11-05,nacional,nocturna,13,2718
2014-11-05,nacional,nocturna,14,3885
2014-11-05,nacional,nocturna,15,7139
2014-11-05,nacional,nocturna,16,6838
2014-11-05,nacional,nocturna,17,2251
2014-11-05,nacional,nocturna,18,2402
2014-11-05,nacional,nocturna,19,1921
2014-11-05,nacional,nocturna,20,8434
2014-11-05,nacional,nocturna,Letras,HRSS
2014-11-06,nacional,nocturna, 1,7005
2014-11-06,nacional,nocturna,2,8742
2014-11-06,nacional,nocturna,3,4568
2014-11-06,nacional,nocturna,4,4271
2014-11-06,nacional,nocturna,5,9312
2014-11-06,nacional,nocturna,6,9988
2014-11-06,nacional,nocturna,7,5060
2014-11-06,nacional,nocturna,8,6467
2014-11-06,nacional,nocturna,9,6544
2014-11-06,nacional,nocturna,10,5514
2014-11-06,nacional,nocturna,11,1849
2014-11-06,nacional,nocturna,12,6946
2014-11-06,nacional,nocturna,13,6497
2014-11-06,nacional,nocturna,14,5969
2014-11-06,nacional,nocturna,15,9348
2014-11-06,nacional,nocturna,16,5145
2014-11-06,nacional,nocturna,17,1385
2014-11-06,nacional,nocturna,18,9975
2014-11-06,nacional,nocturna,19,5646
2014-11-06,nacional,nocturna,20,5403
2014-11-06,nacional,nocturna,Letras,UGMX
2014-11-07,nacional,nocturna, 1,1981
2014-11-07,nacional,nocturna,2,1292
2014-11-07,nacional,nocturna,3,7639
2014-11-07,nacional,nocturna,4,3510
2014-11-07,nacional,nocturna,5,1936
2014-11-07,nacional,nocturna,6,2904
2014-11-07,nacional,nocturna,7,6267
2014-11-07,nacional,nocturna,8,4891
2014-11-07,nacional,nocturna,9,3426
2014-11-07,nacional,nocturna,10,2976
2014-11-07,nacional,nocturna,11,1578
2014-11-07,nacional,nocturna,12,7912
2014-11-07,nacional,nocturna,13,3929
2014-11-07,nacional,nocturna,14,9951
2014-11-07,nacional,nocturna,15,3714
2014-11-07,nacional,nocturna,16,3641
2014-11-07,nacional,nocturna,17,4334
2014-11-07,nacional,nocturna,18,7790
2014-11-07,nacional,nocturna,19,6387
2014-11-07,nacional,nocturna,20,9576
2014-11-07,nacional,nocturna,Letras,EBGN
2014-11-08,nacional,nocturna, 1,1941
2014-11-08,nacional,nocturna,2,5099
2014-11-08,nacional,nocturna,3,8034
2014-11-08,nacional,nocturna,4,1336
2014-11-08,nacional,nocturna,5,7173
2014-11-08,nacional,nocturna,6,7084
2014-11-08,nacional,nocturna,7,0326
2014-11-08,nacional,nocturna,8,4064
2014-11-08,nacional,nocturna,9,1446
2014-11-08,nacional,nocturna,10,6525
2014-11-08,nacional,nocturna,11,1981
2014-11-08,nacional,nocturna,12,1880
2014-11-08,nacional,nocturna,13,3781
2014-11-08,nacional,nocturna,14,2110
2014-11-08,nacional,nocturna,15,1490
2014-11-08,nacional,nocturna,16,5011
2014-11-08,nacional,nocturna,17,2966
2014-11-08,nacional,nocturna,18,9355
2014-11-08,nacional,nocturna,19,5819
