date,quiniela,period,position,result
2014-11-01,nacional,primera,1,3940
2014-11-01,nacional,primera,2,6857
2014-11-01,nacional,primera,3,0609
2014-11-01,nacional,primera,4,8018
2014-11-01,nacional,primera,5,3232
2014-11-01,nacional,primera,6,9538
2014-11-01,nacional,primera,7,4258
2014-11-01,nacional,primera,8,3722
2014-11-01,nacional,primera,9,2182
2014-11-01,nacional,primera,10,6112
2014-11-01,nacional,primera,11,9275
2014-11-01,nacional,primera,12,7158
2014-11-01,nacional,primera,13,8147
2014-11-01,nacional,primera,14,2643
2014-11-01,nacional,primera,15,4704
2014-11-01,nacional,primera,16,8479
2014-11-01,nacional,primera,17,3964
2014-11-01,nacional,primera,18,1519
2014-11-01,nacional,primera,19,3391
2014-11-01,nacional,primera,20,0496
2014-11-01,nacional,primera,Letras,EULQ 
2014-11-03,nacional,primera,1,2601
2014-11-03,nacional,primera,2,6463
2014-11-03,nacional,primera,3,4734
2014-11-03,nacional,primera,4,4788
2014-11-03,nacional,primera,5,7133
2014-11-03,nacional,primera,6,4205
2014-11-03,nacional,primera,7,4841
2014-11-03,nacional,primera,8,3373
2014-11-03,nacional,primera,9,6189
2014-11-03,nacional,primera,10,3393
2014-11-03,nacional,primera,11,7135
2014-11-03,nacional,primera,12,6890
2014-11-03,nacional,primera,13,8073
2014-11-03,nacional,primera,14,0479
2014-11-03,nacional,primera,15,0731
2014-11-03,nacional,primera,16,5768
2014-11-03,nacional,primera,17,4227
2014-11-03,nacional,primera,18,2252
2014-11-03,nacional,primera,19,2720
2014-11-03,nacional,primera,20,8425
2014-11-03,nacional,primera,Letras,IFGJ 
2014-11-04,nacional,primera,1,9146
2014-11-04,nacional,primera,2,3891
2014-11-04,nacional,primera,3,3821
2014-11-04,nacional,primera,4,0728
2014-11-04,nacional,primera,5,8607
2014-11-04,nacional,primera,6,7711
2014-11-04,nacional,primera,7,8081
2014-11-04,nacional,primera,8,8133
2014-11-04,nacional,primera,9,5963
2014-11-04,nacional,primera,10,2965
2014-11-04,nacional,primera,11,7644
2014-11-04,nacional,primera,12,6652
2014-11-04,nacional,primera,13,5583
2014-11-04,nacional,primera,14,3210
2014-11-04,nacional,primera,15,5536
2014-11-04,nacional,primera,16,5255
2014-11-04,nacional,primera,17,3031
2014-11-04,nacional,primera,18,3663
2014-11-04,nacional,primera,19,5979
2014-11-04,nacional,primera,20,2640
2014-11-04,nacional,primera,Letras,ISWX 
2014-11-05,nacional,primera,1,1244
2014-11-05,nacional,primera,2,4024
2014-11-05,nacional,primera,3,5080
2014-11-05,nacional,primera,4,5754
2014-11-05,nacional,primera,5,6910
2014-11-05,nacional,primera,6,1317
2014-11-05,nacional,primera,7,8703
2014-11-05,nacional,primera,8,0740
2014-11-05,nacional,primera,9,2639
2014-11-05,nacional,primera,10,3901
2014-11-05,nacional,primera,11,0198
2014-11-05,nacional,primera,12,7270
2014-11-05,nacional,primera,13,1335
2014-11-05,nacional,primera,14,3138
2014-11-05,nacional,primera,15,0248
2014-11-05,nacional,primera,16,4634
2014-11-05,nacional,primera,17,6424
2014-11-05,nacional,primera,18,9756
2014-11-05,nacional,primera,19,1154
2014-11-05,nacional,primera,20,2456
2014-11-05,nacional,primera,Letras,BGNY 
2014-11-06,nacional,primera,1,7314
2014-11-06,nacional,primera,2,2122
2014-11-06,nacional,primera,3,5388
2014-11-06,nacional,primera,4,3679
2014-11-06,nacional,primera,5,6271
2014-11-06,nacional,primera,6,9044
2014-11-06,nacional,primera,7,6482
2014-11-06,nacional,primera,8,2394
2014-11-06,nacional,primera,9,8461
2014-11-06,nacional,primera,10,7607
2014-11-06,nacional,primera,11,0675
2014-11-06,nacional,primera,12,1457
2014-11-06,nacional,primera,13,5685
2014-11-06,nacional,primera,14,6743
2014-11-06,nacional,primera,15,9407
2014-11-06,nacional,primera,16,5941
2014-11-06,nacional,primera,17,2624
2014-11-06,nacional,primera,18,6353
2014-11-06,nacional,primera,19,2573
2014-11-06,nacional,primera,20,7177
2014-11-06,nacional,primera,Letras,APSX 
2014-11-07,nacional,primera,1,4278
2014-11-07,nacional,primera,2,0908
2014-11-07,nacional,primera,3,3550
2014-11-07,nacional,primera,4,5764
2014-11-07,nacional,primera,5,8410
2014-11-07,nacional,primera,6,9493
2014-11-07,nacional,primera,7,2757
2014-11-07,nacional,primera,8,1745
2014-11-07,nacional,primera,9,7741
2014-11-07,nacional,primera,10,3931
2014-11-07,nacional,primera,11,9855
2014-11-07,nacional,primera,12,9906
2014-11-07,nacional,primera,13,5751
2014-11-07,nacional,primera,14,2740
2014-11-07,nacional,primera,15,4747
2014-11-07,nacional,primera,16,0967
2014-11-07,nacional,primera,17,0402
2014-11-07,nacional,primera,18,6651
2014-11-07,nacional,primera,19,3312
2014-11-07,nacional,primera,20,9944
2014-11-07,nacional,primera,Letras,AOHT 
2014-11-08,nacional,primera,1,6991
2014-11-08,nacional,primera,2,7187
2014-11-08,nacional,primera,3,3894
2014-11-08,nacional,primera,4,5479
2014-11-08,nacional,primera,5,5346
2014-11-08,nacional,primera,6,6138
2014-11-08,nacional,primera,7,2124
2014-11-08,nacional,primera,8,5886
2014-11-08,nacional,primera,9,7483
2014-11-08,nacional,primera,10,5708
2014-11-08,nacional,primera,11,6109
2014-11-08,nacional,primera,12,0663
2014-11-08,nacional,primera,13,7279
2014-11-08,nacional,primera,14,1108
2014-11-08,nacional,primera,15,8957
2014-11-08,nacional,primera,16,8285
2014-11-08,nacional,primera,17,4772
2014-11-08,nacional,primera,18,1163
2014-11-08,nacional,primera,19,9217
2014-11-08,nacional,primera,20,3948
2014-11-08,nacional,primera,Letras,MPST 
2014-11-10,nacional,primera,1,4513
2014-11-10,nacional,primera,2,4153
2014-11-10,nacional,primera,3,9449
2014-11-10,nacional,primera,4,9102
2014-11-10,nacional,primera,5,4213
2014-11-10,nacional,primera,6,5210
2014-11-10,nacional,primera,7,6914
2014-11-10,nacional,primera,8,9729
2014-11-10,nacional,primera,9,2457
2014-11-10,nacional,primera,10,5622
2014-11-10,nacional,primera,11,4206
2014-11-10,nacional,primera,12,0040
2014-11-10,nacional,primera,13,9591
2014-11-10,nacional,primera,14,8685
2014-11-10,nacional,primera,15,8810
2014-11-10,nacional,primera,16,7330
2014-11-10,nacional,primera,17,4426
2014-11-10,nacional,primera,18,4487
2014-11-10,nacional,primera,19,3182
2014-11-10,nacional,primera,20,6485
2014-11-10,nacional,primera,Letras,UFMR 
2014-11-11,nacional,primera,1,8826
2014-11-11,nacional,primera,2,3563
2014-11-11,nacional,primera,3,3701
2014-11-11,nacional,primera,4,3682
2014-11-11,nacional,primera,5,0832
2014-11-11,nacional,primera,6,6703
2014-11-11,nacional,primera,7,8656
2014-11-11,nacional,primera,8,0665
2014-11-11,nacional,primera,9,3171
2014-11-11,nacional,primera,10,0859
2014-11-11,nacional,primera,11,1199
2014-11-11,nacional,primera,12,6646
2014-11-11,nacional,primera,13,1225
2014-11-11,nacional,primera,14,0346
2014-11-11,nacional,primera,15,9415
2014-11-11,nacional,primera,16,9304
2014-11-11,nacional,primera,17,5160
2014-11-11,nacional,primera,18,0308
2014-11-11,nacional,primera,19,0017
2014-11-11,nacional,primera,20,5176
2014-11-11,nacional,primera,Letras,UFLQ 
2014-11-12,nacional,primera,1,6408
2014-11-12,nacional,primera,2,7162
2014-11-12,nacional,primera,3,8083
