date,quiniela,period,position,result
2014-11-01,nacional,vespertina, 1,8708
2014-11-01,nacional,vespertina,2,9299
2014-11-01,nacional,vespertina,3,5054
2014-11-01,nacional,vespertina,4,7762
2014-11-01,nacional,vespertina,5,5976
2014-11-01,nacional,vespertina,6,6404
2014-11-01,nacional,vespertina,7,3365
2014-11-01,nacional,vespertina,8,4438
2014-11-01,nacional,vespertina,9,5123
2014-11-01,nacional,vespertina,10,8588
2014-11-01,nacional,vespertina,11,3195
2014-11-01,nacional,vespertina,12,0747
2014-11-01,nacional,vespertina,13,8978
2014-11-01,nacional,vespertina,14,9302
2014-11-01,nacional,vespertina,15,8632
2014-11-01,nacional,vespertina,16,8069
2014-11-01,nacional,vespertina,17,6488
2014-11-01,nacional,vespertina,18,9583
2014-11-01,nacional,vespertina,19,7746
2014-11-01,nacional,vespertina,20,3646
2014-11-01,nacional,vespertina,Letras,UFWZ 
2014-11-03,nacional,vespertina, 1,7469
2014-11-03,nacional,vespertina,2,8195
2014-11-03,nacional,vespertina,3,0617
2014-11-03,nacional,vespertina,4,1151
2014-11-03,nacional,vespertina,5,5302
2014-11-03,nacional,vespertina,6,9450
2014-11-03,nacional,vespertina,7,9985
2014-11-03,nacional,vespertina,8,5119
2014-11-03,nacional,vespertina,9,4417
2014-11-03,nacional,vespertina,10,9362
2014-11-03,nacional,vespertina,11,7044
2014-11-03,nacional,vespertina,12,2986
2014-11-03,nacional,vespertina,13,0477
2014-11-03,nacional,vespertina,14,1940
2014-11-03,nacional,vespertina,15,7670
2014-11-03,nacional,vespertina,16,7811
2014-11-03,nacional,vespertina,17,5325
2014-11-03,nacional,vespertina,18,9108
2014-11-03,nacional,vespertina,19,0046
2014-11-03,nacional,vespertina,20,1037
2014-11-03,nacional,vespertina,Letras,IDPP 
2014-11-04,nacional,vespertina, 1,7214
2014-11-04,nacional,vespertina,2,7137
2014-11-04,nacional,vespertina,3,8139
2014-11-04,nacional,vespertina,4,3542
2014-11-04,nacional,vespertina,5,2527
2014-11-04,nacional,vespertina,6,6456
2014-11-04,nacional,vespertina,7,0681
2014-11-04,nacional,vespertina,8,0153
2014-11-04,nacional,vespertina,9,5022
2014-11-04,nacional,vespertina,10,7066
2014-11-04,nacional,vespertina,11,1856
2014-11-04,nacional,vespertina,12,5029
2014-11-04,nacional,vespertina,13,0917
2014-11-04,nacional,vespertina,14,8912
2014-11-04,nacional,vespertina,15,3845
2014-11-04,nacional,vespertina,16,8291
2014-11-04,nacional,vespertina,17,2996
2014-11-04,nacional,vespertina,18,9582
2014-11-04,nacional,vespertina,19,1535
2014-11-04,nacional,vespertina,20,8252
2014-11-04,nacional,vespertina,Letras,MNWY 
2014-11-05,nacional,vespertina, 1,8372
2014-11-05,nacional,vespertina,2,4219
2014-11-05,nacional,vespertina,3,2231
2014-11-05,nacional,vespertina,4,6845
2014-11-05,nacional,vespertina,5,4863
2014-11-05,nacional,vespertina,6,8245
2014-11-05,nacional,vespertina,7,0239
2014-11-05,nacional,vespertina,8,2355
2014-11-05,nacional,vespertina,9,6293
2014-11-05,nacional,vespertina,10,9526
2014-11-05,nacional,vespertina,11,2316
2014-11-05,nacional,vespertina,12,0587
2014-11-05,nacional,vespertina,13,6354
2014-11-05,nacional,vespertina,14,9482
2014-11-05,nacional,vespertina,15,1423
2014-11-05,nacional,vespertina,16,9232
2014-11-05,nacional,vespertina,17,8118
2014-11-05,nacional,vespertina,18,7412
2014-11-05,nacional,vespertina,19,6287
2014-11-05,nacional,vespertina,20,1679
2014-11-05,nacional,vespertina,Letras,OGNX 
2014-11-06,nacional,vespertina, 1,0108
2014-11-06,nacional,vespertina,2,4385
2014-11-06,nacional,vespertina,3,0519
2014-11-06,nacional,vespertina,4,6377
2014-11-06,nacional,vespertina,5,1314
2014-11-06,nacional,vespertina,6,4163
2014-11-06,nacional,vespertina,7,8212
2014-11-06,nacional,vespertina,8,6409
2014-11-06,nacional,vespertina,9,7498
2014-11-06,nacional,vespertina,10,1245
2014-11-06,nacional,vespertina,11,5485
2014-11-06,nacional,vespertina,12,0827
2014-11-06,nacional,vespertina,13,2759
2014-11-06,nacional,vespertina,14,0539
2014-11-06,nacional,vespertina,15,2644
2014-11-06,nacional,vespertina,16,4332
2014-11-06,nacional,vespertina,17,3539
2014-11-06,nacional,vespertina,18,8252
2014-11-06,nacional,vespertina,19,6103
2014-11-06,nacional,vespertina,20,0435
2014-11-06,nacional,vespertina,Letras,MVVX 
2014-11-07,nacional,vespertina, 1,0760
2014-11-07,nacional,vespertina,2,2699
2014-11-07,nacional,vespertina,3,1006
2014-11-07,nacional,vespertina,4,9319
2014-11-07,nacional,vespertina,5,7602
2014-11-07,nacional,vespertina,6,9003
2014-11-07,nacional,vespertina,7,7100
2014-11-07,nacional,vespertina,8,6833
2014-11-07,nacional,vespertina,9,4415
2014-11-07,nacional,vespertina,10,6453
2014-11-07,nacional,vespertina,11,1665
2014-11-07,nacional,vespertina,12,9510
2014-11-07,nacional,vespertina,13,9796
2014-11-07,nacional,vespertina,14,0973
2014-11-07,nacional,vespertina,15,4299
2014-11-07,nacional,vespertina,16,7609
2014-11-07,nacional,vespertina,17,1890
2014-11-07,nacional,vespertina,18,9772
2014-11-07,nacional,vespertina,19,7555
2014-11-07,nacional,vespertina,20,4851
2014-11-07,nacional,vespertina,Letras,AFKN 
2014-11-08,nacional,vespertina, 1,4497
2014-11-08,nacional,vespertina,2,6511
2014-11-08,nacional,vespertina,3,6235
2014-11-08,nacional,vespertina,4,5573
2014-11-08,nacional,vespertina,5,6423
2014-11-08,nacional,vespertina,6,4947
2014-11-08,nacional,vespertina,7,1250
2014-11-08,nacional,vespertina,8,0167
2014-11-08,nacional,vespertina,9,5637
2014-11-08,nacional,vespertina,10,4939
2014-11-08,nacional,vespertina,11,8644
2014-11-08,nacional,vespertina,12,5978
2014-11-08,nacional,vespertina,13,1992
2014-11-08,nacional,vespertina,14,0598
2014-11-08,nacional,vespertina,15,0080
2014-11-08,nacional,vespertina,16,2634
2014-11-08,nacional,vespertina,17,3571
2014-11-08,nacional,vespertina,18,6157
2014-11-08,nacional,vespertina,19,5349
2014-11-08,nacional,vespertina,20,0644
2014-11-08,nacional,vespertina,Letras,KRYY 
2014-11-10,nacional,vespertina, 1,0049
2014-11-10,nacional,vespertina,2,0661
2014-11-10,nacional,vespertina,3,6938
2014-11-10,nacional,vespertina,4,4736
2014-11-10,nacional,vespertina,5,7495
2014-11-10,nacional,vespertina,6,7207
2014-11-10,nacional,vespertina,7,4669
2014-11-10,nacional,vespertina,8,8574
2014-11-10,nacional,vespertina,9,3455
2014-11-10,nacional,vespertina,10,1147
2014-11-10,nacional,vespertina,11,0086
2014-11-10,nacional,vespertina,12,7432
2014-11-10,nacional,vespertina,13,2575
